Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2476367,imr,COUNTRY,GMB,AFR,YEAR,Africa,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,2018,,,,,DATASOURCE,DATASOURCE_EQ_MICS,38.0 [29.4-46.5],37.9522,29.44819,46.45622,,2022-05-26T12:52:02+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
2476516,imr,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,AGEGROUP,AGEGROUP_YEARS15-19,2008,,,,,DATASOURCE,DATASOURCE_EQ_DHS,36.5 [28.5-44.5],36.51694,28.50383,44.53006,,2022-05-26T11:01:27+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2477366,imr,COUNTRY,MKD,EUR,YEAR,Europe,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE07,2018,,,,,DATASOURCE,DATASOURCE_EQ_MICS,No data,,,,Not reported - Estimate is based on fewer than 250 unweighted person-years of exposure to the risk of death,2022-05-26T12:23:58+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
2477418,imr,COUNTRY,MDG,AFR,YEAR,Africa,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE01,1997,,,,,DATASOURCE,DATASOURCE_EQ_DHS,108.9 [91.0-126.8],108.87,90.9634,126.77657,,2022-05-26T12:17:13+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
2478360,imr,COUNTRY,ZMB,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_ZMBDHS201307,2013,,,,,DATASOURCE,DATASOURCE_EQ_DHS,49.5 [38.4-60.6],49.46785,38.36206,60.57364,,2022-05-26T14:53:22+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2478556,imr,COUNTRY,HND,AMR,YEAR,Americas,DHSMICSGEOREGION,DHSMICSGEOREGION_HNDRHS199604,1996,,,,,DATASOURCE,DATASOURCE_EQ_RHS,No data,,,,Not available,2022-05-26T14:25:58+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
2478631,imr,COUNTRY,RWA,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_RWADHS201004,2010,,,,,DATASOURCE,DATASOURCE_EQ_DHS,71.5 [58.7-84.2],71.4506,58.72995,84.17125,,2022-05-26T14:45:15+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2478928,imr,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,AGEGROUP,AGEGROUP_YEARS15-19,2014,,,,,DATASOURCE,DATASOURCE_EQ_DHS,35.1 [27.2-43.0],35.0846,27.20783,42.96136,,2022-05-26T11:01:28+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2480001,imr,COUNTRY,ZMB,AFR,YEAR,Africa,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE01,2018,,,,,DATASOURCE,DATASOURCE_EQ_DHS,41.9 [32.4-51.5],41.92386,32.3791,51.46861,,2022-05-26T12:38:39+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
2480946,imr,COUNTRY,MDG,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_MDGMICS201803,2018,,,,,DATASOURCE,DATASOURCE_EQ_MICS,37.2 [22.4-52.0],37.17675,22.36082,51.99268,,2022-05-26T14:32:35+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
